title,content,topic,sentiment
รถกระบะเสียหลักชนเสาไฟฟ้า มีผู้ได้รับบาดเจ็บ 3 ราย,รถกระบะเสียหลักพุ่งชนเสาไฟฟ้าริมถนนสายหลัก ทำให้มีผู้ได้รับบาดเจ็บ 3 ราย เจ้าหน้าที่กู้ภัยนำส่งโรงพยาบาลทันที ตำรวจคาดว่าสาเหตุมาจากการหลับในขณะขับขี่,accident,negative
รถยนต์ชนกันกลางสี่แยก มีผู้ได้รับบาดเจ็บ 5 ราย,เกิดเหตุรถยนต์สองคันชนกันบริเวณสี่แยกไฟแดง มีผู้ได้รับบาดเจ็บรวม 5 ราย ในจำนวนนี้บาดเจ็บสาหัส 1 ราย เจ้าหน้าที่ต้องใช้เครื่องตัดถ่างช่วยผู้ติดอยู่ในซากรถ,accident,negative
จักรยานยนต์ชนท้ายรถบรรทุก คนขับเสียชีวิตคาที่,รถจักรยานยนต์พุ่งชนท้ายรถบรรทุกที่จอดเสียอยู่ไหล่ทาง คนขับเสียชีวิตในที่เกิดเหตุ ตำรวจระบุว่าจุดดังกล่าวไม่มีไฟส่องสว่างและไม่มีป้ายเตือน,accident,negative
รถตู้นักเรียนพลิกคว่ำ เด็กบาดเจ็บ 8 คน,รถตู้รับส่งนักเรียนเสียหลักพลิกคว่ำข้างทาง ทำให้นักเรียนได้รับบาดเจ็บ 8 คน โชคดีที่ไม่มีผู้เสียชีวิต ผู้ปกครองเรียกร้องให้ตรวจสอบสภาพรถและใบอนุญาตคนขับ,accident,negative
เกิดอุบัติเหตุรถชนกัน 5 คันบนทางด่วน การจราจรติดขัดยาว,อุบัติเหตุรถชนกันต่อเนื่อง 5 คันบนทางด่วนช่วงขาเข้าเมือง ส่งผลให้การจราจรติดขัดเป็นระยะทางกว่า 4 กิโลเมตร เจ้าหน้าที่เร่งเคลียร์เส้นทางและแนะนำให้ผู้ใช้ทางเลี่ยงเส้นทางดังกล่าว,accident,negative
รถบัสโดยสารเบรกแตกพุ่งชนราวสะพาน,รถบัสโดยสารประจำทางเบรกแตกขณะลงเนิน พุ่งชนราวสะพานได้รับความเสียหาย ผู้โดยสารบาดเจ็บเล็กน้อย 12 ราย คนขับให้การว่าระบบเบรกมีปัญหามาก่อนหน้านี้,accident,negative
กู้ภัยช่วยผู้ติดในรถสำเร็จ ปลอดภัยทุกคน,เจ้าหน้าที่กู้ภัยใช้เวลากว่าหนึ่งชั่วโมงช่วยเหลือผู้ติดอยู่ในซากรถที่พลิกคว่ำลงข้างทาง สามารถนำผู้ประสบเหตุออกมาได้อย่างปลอดภัยทั้ง 4 คน แพทย์ระบุว่าไม่มีผู้ใดบาดเจ็บรุนแรง,accident,positive
เตือนประชาชนเลี่ยงเส้นทาง หลังเกิดอุบัติเหตุรถบรรทุกพลิกคว่ำ,ตำรวจทางหลวงแจ้งเตือนประชาชนหลีกเลี่ยงเส้นทางช่วงกิโลเมตรที่ 45 หลังเกิดเหตุรถบรรทุกพลิกคว่ำกีดขวางช่องจราจร คาดว่าจะใช้เวลาเคลียร์พื้นที่ประมาณ 3 ชั่วโมง,accident,neutral
รถจักรยานยนต์เสียหลักล้มเอง คนขับบาดเจ็บเล็กน้อย,ผู้ขับขี่รถจักรยานยนต์เสียหลักล้มบริเวณทางโค้ง ได้รับบาดเจ็บเล็กน้อยที่แขนและขา เจ้าหน้าที่นำส่งโรงพยาบาลเพื่อทำแผล คาดว่าสาเหตุมาจากถนนเปียกจากฝนที่ตกก่อนหน้า,accident,negative
เก๋งชนกลางถนนเสียหลักตกคูน้ำ คนขับรอดปลอดภัย,รถเก๋งเสียหลักตกลงคูน้ำข้างทางหลังพยายามหลบสุนัขที่วิ่งตัดหน้า คนขับสามารถออกจากรถได้เองอย่างปลอดภัย ชาวบ้านในพื้นที่ช่วยกันนำรถขึ้นจากคูน้ำ,accident,neutral
